article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;number_internal_references;complexity_with_references;clump_size
CRR_172;40;24;143;18,915454545454566;4;5,390120975310237e+16;339
CRR_173;24;14;136;16,30818181818185;1;5,390120975310237e+16;339
CRR_174;31;17;82;11,733329562594292;0;31;1
CRR_175;29;17;99;17,424741379310376;0;29;1
CRR_176;19;11;135;18,24172942643395;3;5,390120975310237e+16;339
CRR_177;13;9;55;32,268965889464624;1;5,390120975310237e+16;339
CRR_178;40;25;199;24,73166666666671;1;5,390120975310237e+16;339
CRR_179;54;30;209;12,60141778523493;4;5,390120975310237e+16;339
CRR_180;73;41;379;12,856595133039207;5;5,390120975310237e+16;339
CRR_181;49;27;217;11,317377115229675;0;49;1
CRR_182;37;22;209;17,956315789473706;0;37;1
CRR_183;53;36;219;31,044543378995456;7;5,390120975310237e+16;339
CRR_184;59;32;278;8,562987012987037;0;59;1
CRR_185;34;18;122;8,115083768195575;0;34;1
CRR_186;47;23;146;-1,3631819036869786;0;47;1
CRR_187;41;18;102;-17,914196642685823;0;41;1
CRR_188;38;21;113;10,739020270270288;0;38;1
CRR_189;29;18;91;22,860429752066153;0;29;1
CRR_190;20;11;101;12,92600649350652;1;5,390120975310237e+16;339
CRR_191;7;4;27;12,564784946236585;0;7;1
CRR_192;9;3;26;-51,20364485981307;0;9;1
CRR_193;11;7;93;27,37910101822081;0;11;1
CRR_194;42;27;192;26,115010740203218;7;5,390120975310237e+16;339
CRR_195;3;2;21;17,752692307692342;1;5,390120975310237e+16;339
CRR_196;7;3;34;-26,269999999999982;4;5,390120975310237e+16;339
CRR_197;76;43;318;13,730305694829013;12;5,390120975310237e+16;339
CRR_198;29;16;102;12,219526813880151;2;5,390120975310237e+16;339
CRR_199;51;28;280;10,482340495867788;9;5,390120975310237e+16;339
CRR_200;0;0;17;4,064212328767155;0;0;1
CRR_201;9;4;78;-15,23643321299636;4;5,390120975310237e+16;339
CRR_202;15;5;78;-65,6235433070866;1;5,390120975310237e+16;339
CRR_203;0;0;4;0,21467391304352645;0;0;1
CRR_204;6;4;57;30,201999999999998;0;6;1
CRR_205;10;3;47;-83,25192307692305;1;5,390120975310237e+16;339
CRR_206;12;3;62;-123,0668421052631;1;5,390120975310237e+16;339
CRR_207;54;30;192;12,442782846715346;1;5,390120975310237e+16;339
CRR_208;22;14;101;26,156342570473043;0;22;1
CRR_209;68;36;193;6,8266524216524544;0;68;1
CRR_210;62;21;133;-56,679709530026074;1;136,8;1
CRR_211;4;1;64;-103,1781818181818;1;28,200000000000003;1
CRR_212;25;11;167;-14,24275179856113;1;5,390120975310237e+16;339
CRR_213;29;16;95;11,575595238095246;3;5,390120975310237e+16;339
CRR_214;10;6;72;17,18210674157308;5;5,390120975310237e+16;339
CRR_215;27;11;98;-26,412573529411745;2;5,390120975310237e+16;339
CRR_216;43;12;124;-96,72609062980027;2;5,390120975310237e+16;339
CRR_217;17;8;151;-4,075667451904167;5;5,390120975310237e+16;339
CRR_218;0;0;27;9,336304347826115;1;5,390120975310237e+16;339
CRR_219;0;0;12;-3,5249999999999773;0;0;1
CRR_220;18;8;176;-14,208410313901311;5;5,390120975310237e+16;339
CRR_221;64;34;340;7,8869563686417905;5;5,390120975310237e+16;339
CRR_222;34;24;170;33,92561855670107;10;5,390120975310237e+16;339
CRR_223;30;17;148;12,398301261829658;8;5,390120975310237e+16;339
CRR_224;15;9;149;19,80712896580141;2;5,390120975310237e+16;339
CRR_225;66;33;235;0,5809349593496336;0;66;1
CRR_226;8;4;23;2,972383093525224;2;5,390120975310237e+16;339
CRR_227;22;10;120;-9,037352941176465;5;5,390120975310237e+16;339
CRR_228;7;5;38;39,361005747126455;3;5,390120975310237e+16;339
CRR_229;14;10;71;33,087328794553486;1;38,2;1
CRR_230;26;17;100;29,846000000000032;5;5,390120975310237e+16;339
CRR_231;12;7;53;18,93238095238098;1;5,390120975310237e+16;339
CRR_232;20;15;92;38,95919826404753;4;5,390120975310237e+16;339
CRR_233;16;10;80;24,292752336448615;3;5,390120975310237e+16;339
CRR_234;3;2;17;33,083055555555575;0;3;1
CRR_235;7;5;57;30,596866197183118;4;5,390120975310237e+16;339
CRR_236;8;7;59;48,512392857142885;2;5,390120975310237e+16;339
CRR_237;3;2;36;28,012304347826102;1;5,390120975310237e+16;339
CRR_238;12;8;45;31,38216788702931;0;12;1
CRR_239;8;5;78;22,2930341880342;6;5,390120975310237e+16;339
CRR_240;9;4;37;-20,832661290322562;0;9;1
CRR_241;6;4;46;31,572460552268268;3;5,390120975310237e+16;339
CRR_242;44;13;119;-83,59459016393438;2;5,390120975310237e+16;339
CRR_243;49;24;301;-3,6709109311740917;1;5,390120975310237e+16;339
CRR_244;51;24;270;-7,013448275862061;3;5,390120975310237e+16;339
CRR_245;21;13;117;21,280099502487587;6;5,390120975310237e+16;339
CRR_246;39;22;144;13,244015151515185;2;5,390120975310237e+16;339
CRR_247;32;19;111;18,134790209790253;2;5,390120975310237e+16;339
CRR_248;16;10;106;21,177411262798643;1;5,390120975310237e+16;339
CRR_249;11;6;47;7,743825301204851;3;5,390120975310237e+16;339
CRR_250;13;7;65;6,624000000000024;2;5,390120975310237e+16;339
CRR_251;4;3;37;30,16598997493736;6;5,390120975310237e+16;339
CRR_252;9;3;33;-56,50448275862068;1;23,3;1
CRR_253;8;6;49;41,303812154696146;0;8;1
CRR_254;15;4;35;-104,59528301886789;1;46,900000000000006;1
CRR_255;29;13;105;-12,515157024793353;0;29;1
CRR_256;70;39;395;12,685027932960935;1;75,5;1
CRR_257;2;1;9;-8,304999999999978;0;2;1
CRR_258;5;3;38;15,628022388059719;3;5,390120975310237e+16;339
CRR_259;126;63;413;-0,1649508386350078;3;5,390120975310237e+16;339
CRR_260;5;2;22;-34,38045454545451;1;5,390120975310237e+16;339
CRR_261;12;10;104;45,181468531468525;2;5,390120975310237e+16;339
CRR_262;22;13;186;19,62957822085889;3;5,390120975310237e+16;339
CRR_263;11;7;67;25,023373983739845;1;42,900000000000006;1
CRR_264;37;18;162;-4,912743432574416;2;5,390120975310237e+16;339
CRR_265;16;9;89;13,393235803324131;1;99,05000000000001;1
CRR_266;12;8;80;33,109090909090924;6;5,390120975310237e+16;339
CRR_267;2;1;13;17,970454545454572;0;2;1
CRR_268;18;10;82;10,669047210300448;0;18;1
CRR_269;12;8;99;27,97448381452321;0;12;1
CRR_270;25;14;83;14,44376344086021;0;25;1
CRR_271;5;3;17;26,682500000000005;0;5;1
CRR_272;45;14;313;-74,82146353762604;0;45;1
