"","V1","V2"
"8012","restrictions","RegulatoryOperators"
"8013","restricts","RegulatoryOperators"
"8115","satisfied","RegulatoryOperators"
"8116","satisfies","RegulatoryOperators"
"8138","second","LogicalConnectors"
"8238","shall","RegulatoryOperators"
"8259","should","RegulatoryOperators"
"8273","similar","LogicalConnectors"
"8275","similarly","LogicalConnectors"
"8282","since","LogicalConnectors"
"8299","smaller","MathematicalOperators"
"8302","so","LogicalConnectors"
"8306","sole","LogicalConnectors"
"8307","solely","LogicalConnectors"
"8331","specifically","LogicalConnectors"
"8334","specified","RegulatoryOperators"
"8401","still","LogicalConnectors"
"8455","subjecting","RegulatoryOperators"
"8479","subsequently","LogicalConnectors"
"8498","subtract","RegulatoryOperators"
"8501","succeeding","LogicalConnectors"
"8519","suitability","RegulatoryOperators"
"8520","suitable","RegulatoryOperators"
"8529","superior","MathematicalOperators"
"8531","superseded","RegulatoryOperators"
"8533","superseding","RegulatoryOperators"
"8534","supervise","RegulatoryOperators"
"8536","supervises","RegulatoryOperators"
"8562","suspending","RegulatoryOperators"
"8649","then","LogicalConnectors"
"8653","thereby","LogicalConnectors"
"8655","therefore","LogicalConnectors"
"8663","thereupon","LogicalConnectors"
"8674","though","LogicalConnectors"
"8685","thus","LogicalConnectors"
"8712","total","MathematicalOperators"
"8776","triple","MathematicalOperators"
"8777","tripled","RegulatoryOperators"
"8808","unconditionally","LogicalConnectors"
"8863","unlawful","RegulatoryOperators"
"8864","unless","LogicalConnectors"
"8885","until","LogicalConnectors"
"8892","upcoming","LogicalConnectors"
"8951","very","LogicalConnectors"
"8999","waive","RegulatoryOperators"
"9001","waiver","RegulatoryOperators"
"9002","waivers","RegulatoryOperators"
"9003","waiving","RegulatoryOperators"
"9022","weigh","MathematicalOperators"
"9023","weighted","MathematicalOperators"
"9031","when","LogicalConnectors"
"9032","whenever","LogicalConnectors"
"9033","where","LogicalConnectors"
"9037","wherever","LogicalConnectors"
"9038","whether","LogicalConnectors"
"9041","while","LogicalConnectors"
"9050","why","LogicalConnectors"
"9065","within","LogicalConnectors"
"9097","yet","LogicalConnectors"
