article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRR_19;4;2;70;-0,17000000000001592;6;282;531;47,0;1,8829787234042554;1;2,2210363476697925e+22;475
CRR_20;72;48;323;30,547243998300445;36;1046;1815;29,055555555555557;1,7351816443594645;12;2,2210363476697925e+22;475
CRR_21;26;16;166;22,998702247710668;19;569;1032;29,94736842105263;1,8137082601054482;1;2,2210363476697925e+22;475
CRR_22;8;5;52;21,62090502793299;5;179;315;35,8;1,7597765363128492;4;2,2210363476697925e+22;475
CRR_23;11;5;15;-9,830526315789456;1;57;107;57,0;1,8771929824561404;1;2,443139982436772e+22;1
CRR_24;3;2;20;35,89606593406597;5;91;164;18,2;1,8021978021978022;0;3;1
CRR_25;0;0;3;49,78250000000003;2;47;74;23,5;1,574468085106383;0;0;1
CRR_26;37;23;220;23,35631220534313;23;747;1329;32,47826086956522;1,7791164658634537;4;2,2210363476697925e+22;475
CRR_27;15;8;79;5,891967213114782;7;305;565;43,57142857142857;1,8524590163934427;2;2,2210363476697925e+22;475
CRR_28;98;45;431;-11,224113924050613;21;1422;2510;67,71428571428571;1,7651195499296766;3;2,2210363476697925e+22;475
CRR_29;47;28;127;20,276070175438605;15;475;867;31,666666666666668;1,825263157894737;1;2,2210363476697925e+22;475
CRR_30;7;3;25;-15,012409638554189;1;83;135;83,0;1,6265060240963856;2;4,886279964873544e+22;1
CRR_31;6;3;58;2,4028571428571865;5;245;448;49,0;1,8285714285714285;2;2,2210363476697925e+22;475
CRR_32;5;3;41;26,42961538461543;6;156;284;26,0;1,8205128205128205;0;5;1
CRR_33;7;5;62;37,1044650145773;10;343;547;34,3;1,5947521865889214;0;7;1
CRR_34;8;4;19;7,497173913043497;1;46;83;46,0;1,8043478260869565;1;2,2210363476697925e+22;475
CRR_35;7;5;20;32,67429104477614;2;67;111;33,5;1,6567164179104477;1;14,700000000000001;1
CRR_36;29;15;202;3,832828107264504;16;881;1532;55,0625;1,7389330306469921;11;2,2210363476697925e+22;475
CRR_37;12;5;44;-20,938571428571407;2;126;244;63,0;1,9365079365079365;0;12;1
CRR_38;15;9;82;22,07149350649351;11;280;526;25,454545454545453;1,8785714285714286;1;2,443139982436772e+22;1
CRR_39;14;7;94;3,2714844720496785;5;322;526;64,4;1,6335403726708075;0;14;1
CRR_40;4;2;21;-6,139873417721489;1;79;124;79,0;1,5696202531645569;1;2,443139982436772e+22;1
CRR_41;12;8;66;29,641226415094366;7;212;367;30,285714285714285;1,7311320754716981;1;2,443139982436772e+22;1
CRR_42;20;4;53;-178,19493775933609;1;241;400;241,0;1,6597510373443984;1;2,443139982436772e+22;1
CRR_43;3;1;29;-72,61803149606297;1;127;226;127,0;1,779527559055118;0;3;1
CRR_44;8;3;27;-39,330999999999975;1;100;171;100,0;1,71;1;2,2210363476697925e+22;475
CRR_45;19;5;45;-110,57502890173404;1;173;290;173,0;1,676300578034682;1;2,2210363476697925e+22;475
CRR_46;32;19;130;17,395790062310283;11;569;921;51,72727272727273;1,6186291739894552;7;9,772559929747087e+22;1
CRR_47;6;4;26;32,324285714285736;2;70;115;35,0;1,6428571428571428;4;2,2210363476697925e+22;475
CRR_47a;35;20;391;14,045917487684761;20;1015;1695;50,75;1,6699507389162562;4;9,772559929747087e+22;1
CRR_47b;18;9;193;1,1662418300653883;9;544;928;60,44444444444444;1,7058823529411764;0;18;1
CRR_47c;50;24;459;-3,798944016091184;19;1256;2131;66,10526315789474;1,696656050955414;5;2,052237585246888e+23;1
CRR_48;35;21;129;20,53941176470593;10;510;811;51,0;1,5901960784313725;5;2,2210363476697925e+22;475
CRR_49;64;33;304;3,083610022053449;22;1113;2005;50,59090909090909;1,8014375561545373;6;2,2210363476697925e+22;475
CRR_50;8;6;18;35,72184782608696;2;69;111;34,5;1,608695652173913;8;9,772559929747087e+22;1
CRR_51;3;2;12;43,53995762711867;2;59;93;29,5;1,576271186440678;1;2,2210363476697925e+22;475
CRR_52;162;47;316;-87,15768798200511;8;1167;2013;145,875;1,724935732647815;3;2,2210363476697925e+22;475
CRR_53;12;5;45;-18,617561349693233;2;163;275;81,5;1,687116564417178;1;2,443139982436772e+22;1
CRR_54;59;36;146;21,774561567164227;16;670;1129;41,875;1,6850746268656716;2;4,886279964873544e+22;1
CRR_55;5;3;22;26,45279069767443;2;86;139;43,0;1,6162790697674418;1;2,443139982436772e+22;1
CRR_56;27;5;57;-201,0235714285714;1;252;453;252,0;1,7976190476190477;2;2,2210363476697925e+22;475
CRR_57;19;4;53;-172,03653846153844;1;234;391;234,0;1,670940170940171;1;2,2210363476697925e+22;475
CRR_58;12;5;26;-29,886516853932548;1;89;154;89,0;1,7303370786516854;1;2,443139982436772e+22;1
CRR_59;12;5;45;-21,26941176470585;2;170;285;85,0;1,6764705882352942;1;2,2210363476697925e+22;475
CRR_60;31;19;127;22,800712121212115;12;550;894;45,833333333333336;1,6254545454545455;5;2,2210363476697925e+22;475
CRR_61;1;1;10;47,792;2;50;79;25,0;1,58;2;2,443139982436772e+22;1
CRR_62;6;3;35;-8,1606818181818;2;165;256;82,5;1,5515151515151515;6;2,2210363476697925e+22;475
CRR_63;184;33;243;-213,94571428571425;3;819;1391;273,0;1,6984126984126984;2;2,2210363476697925e+22;475
CRR_64;2;2;17;48,525000000000034;5;120;190;24,0;1,5833333333333333;0;2;1
CRR_65;4;3;20;41,45000000000002;2;80;118;40,0;1,475;1;2,443139982436772e+22;1
CRR_66;14;5;49;-46,42927835051543;2;194;355;97,0;1,8298969072164948;2;2,2210363476697925e+22;475
CRR_67;18;4;53;-152,9732876712328;1;219;356;219,0;1,6255707762557077;1;2,443139982436772e+22;1
CRR_68;12;5;27;-26,274999999999977;1;94;153;94,0;1,627659574468085;1;2,443139982436772e+22;1
CRR_69;19;5;45;-103,56323529411762;1;170;277;170,0;1,6294117647058823;1;2,2210363476697925e+22;475
CRR_70;30;19;131;25,85749619134677;12;547;871;45,583333333333336;1,5923217550274222;8;2,2210363476697925e+22;475
CRR_71;1;1;9;61,75000000000003;2;40;59;20,0;1,475;2;2,2210363476697925e+22;475
CRR_72;1;1;7;49,91500000000002;2;36;59;18,0;1,6388888888888888;0;1;1
CRR_72a;35;10;209;-91,74161794500719;5;691;1293;138,2;1,8712011577424024;4;2,2210363476697925e+22;475
CRR_72b;74;32;420;-19,153215541006205;20;1451;2613;72,55;1,8008270158511372;9;2,2210363476697925e+22;475
CRR_72c;14;8;85;11,613757025508022;9;257;505;28,555555555555557;1,9649805447470816;0;14;1
CRR_72d;2;1;27;3,6526923076923197;3;78;163;26,0;2,08974358974359;1;2,443139982436772e+22;1
CRR_72e;47;18;238;-35,25192789968649;11;870;1664;79,0909090909091;1,9126436781609195;6;2,2210363476697925e+22;475
CRR_72f;19;4;57;-164,61940366972473;1;218;387;218,0;1,775229357798165;1;2,443139982436772e+22;1
CRR_72g;3;2;16;32,459736842105286;1;38;61;38,0;1,605263157894737;3;2,2210363476697925e+22;475
CRR_72h;15;4;48;-110,0326470588235;1;170;290;170,0;1,7058823529411764;2;2,2210363476697925e+22;475
CRR_72i;33;18;145;9,034818181818196;11;550;956;50,0;1,7381818181818183;8;2,2210363476697925e+22;475
CRR_72j;7;6;62;46,72409090909093;7;176;280;25,142857142857142;1,5909090909090908;8;2,2210363476697925e+22;475
CRR_72k;2;1;10;-11,934999999999974;1;28;63;28,0;2,25;1;2,443139982436772e+22;1
CRR_72l;3;2;13;34,448571428571455;2;42;75;21,0;1,7857142857142858;0;3;1
CRR_73;22;14;154;27,70685051485387;17;497;878;29,235294117647058;1,766599597585513;0;22;1
CRR_74;11;6;34;7,347110389610435;2;77;146;38,5;1,896103896103896;0;11;1
CRR_75;5;3;24;12,965192307692348;2;117;186;58,5;1,5897435897435896;4;2,2210363476697925e+22;475
CRR_76;7;4;92;19,885249396621077;11;452;776;41,09090909090909;1,7168141592920354;8;2,0278061854225203e+23;1
CRR_77;9;5;43;14,365335820895552;4;134;251;33,5;1,873134328358209;0;9;1
CRR_78;80;43;273;7,72726638023633;19;980;1700;51,578947368421055;1,7346938775510203;3;2,2210363476697925e+22;475
CRR_78a;54;28;182;4,753122448979639;15;588;1128;39,2;1,9183673469387754;2;2,2210363476697925e+22;475
CRR_79;10;6;62;19,684502617801087;7;191;360;27,285714285714285;1,8848167539267016;0;10;1
CRR_79a;5;3;29;25,24155115511553;3;101;176;33,666666666666664;1,7425742574257426;0;5;1
CRR_80;17;10;83;15,029181818181826;11;300;582;27,272727272727273;1,94;0;17;1
CRR_81;15;7;76;-5,35683870967739;5;279;513;55,8;1,8387096774193548;1;2,2210363476697925e+22;475
CRR_82;20;6;64;-81,79122693726936;2;271;484;135,5;1,7859778597785978;1;2,443139982436772e+22;1
CRR_83;13;7;79;10,345000000000027;7;360;614;51,42857142857143;1,7055555555555555;2;4,886279964873544e+22;1
CRR_84;82;44;223;8,47655614973263;17;825;1454;48,529411764705884;1,7624242424242424;10;2,2210363476697925e+22;475
CRR_85;51;28;127;10,179862798020736;9;494;823;54,888888888888886;1,665991902834008;7;2,2210363476697925e+22;475
CRR_86;8;3;18;-37,27868421052628;1;76;150;76,0;1,9736842105263157;1;2,443139982436772e+22;1
CRR_87;46;26;119;14,329444444444448;9;470;775;52,22222222222222;1,648936170212766;8;2,2210363476697925e+22;475
CRR_88;5;3;17;12,176541095890457;2;73;136;36,5;1,8630136986301369;1;2,443139982436772e+22;1
CRR_88a;22;8;59;-43,71315217391303;2;207;356;103,5;1,7198067632850242;1;2,443139982436772e+22;1
CRR_89;20;13;89;28,922936416184996;10;346;584;34,6;1,6878612716763006;0;20;1
CRR_90;4;3;13;38,11169811320758;1;53;72;53,0;1,3584905660377358;2;2,2210363476697925e+22;475
CRR_91;9;7;43;40,71550000000002;5;144;233;28,8;1,6180555555555556;2;42,0;1
CRR_92;81;48;218;19,33183084577118;15;737;1199;49,13333333333333;1,626865671641791;17;2,2210363476697925e+22;475
CRR_92a;9;5;73;13,738235294117686;5;255;426;51,0;1,6705882352941177;6;2,2210363476697925e+22;475
CRR_92b;18;12;80;30,25017241379311;7;232;392;33,142857142857146;1,6896551724137931;1;2,2210363476697925e+22;475
CRR_93;16;14;70;51,76828282828285;11;243;381;22,09090909090909;1,5679012345679013;0;16;1
CRR_94;43;31;191;36,95926933254927;19;716;1114;37,68421052631579;1,5558659217877095;8;2,2210363476697925e+22;475
CRR_95;15;12;67;43,04654411764707;8;306;452;38,25;1,477124183006536;3;2,2210363476697925e+22;475
CRR_96;6;4;60;27,909972677595647;6;244;397;40,666666666666664;1,6270491803278688;3;2,2210363476697925e+22;475
CRR_97;12;9;81;41,6024864864865;10;296;473;29,6;1,597972972972973;3;2,2210363476697925e+22;475
CRR_98;10;6;61;24,468410958904116;5;219;357;43,8;1,63013698630137;3;2,2210363476697925e+22;475
CRR_102;15;16;52;63,22615384615386;13;141;221;10,846153846153847;1,5673758865248226;7;2,2210363476697925e+22;475
CRR_103;78;31;158;-31,276706507304098;6;502;909;83,66666666666667;1,8107569721115537;1;2,2210363476697925e+22;475
CRR_104;7;5;23;34,9588306451613;4;93;163;23,25;1,7526881720430108;2;2,2210363476697925e+22;475
CRR_104a;43;26;182;20,236644313304737;16;466;865;29,125;1,8562231759656653;2;2,2210363476697925e+22;475
CRR_104b;46;29;149;25,851335807050134;11;392;671;35,63636363636363;1,711734693877551;1;2,2210363476697925e+22;475
CRR_105;102;61;386;19,20537006121316;42;1198;2247;28,523809523809526;1,8756260434056762;1;2,2210363476697925e+22;475
CRR_106;84;47;228;12,643572553584903;17;859;1451;50,529411764705884;1,6891734575087312;5;2,2210363476697925e+22;475
CRR_107;15;10;101;30,973865448504995;10;301;517;30,1;1,717607973421927;3;2,2210363476697925e+22;475
